n,score,ratio,iterations,moves
57,127,"2.23",60250,"ctccrcrtcccccrcccrccrrrcrrrcrrcrrcccrcrrcrrcrcrccrrrcrcrccrrcrrtcrcrtrcrrrcrrcccrrcrrrrtrrrrcrrtrcccrrrcrccrcrcrrrccrcrrcrcrtrrrrrcrtrcrrrcrtrtrrrtrrcrtrtrrttrtrrrrtrrrrrtrrrrtrrttttrtrtrrttrtrrtrrrttrtrrttttrrtrttttrtrtttrrrttttrrrtttrttttt"
58,137,"2.36",63250,"ctccrcccrrrcrcccrrrcrcrtcrrrrrcrcrrtcccrccrrrrtrcccrcccrrcrccrccccrcrcrrrrrrcrrrrcccrrrccrrrcrrtccrrrcrtrtcrrrrrcrcrtcrrrrcrrccrrtrrttrrrcrcrtrrrcrcrcrtrrrtrrrrrrrtrrtrtrrcrtrtrrttrrtrrrttrrrtrtttrrttrtrtrrrtttttrrtrttrrttrrtrrttrttrrtrttrrtrttrrttrtrtt"
59,131,"2.22",62250,"ccrttccrcccccrccrrrcrcrcrrrccrcrcrrcrrcrtcrcrrrccrrtcrccrcrcccccrccrccrrrcrrrrcrrrcrrtrrrrcrccrrtcrrcrcrrrcrtrrrrcrrcrcrtrrrrccrrcrcrtrrccrrcrrtrrcrtrtrrrrcrtrrtrtrrrrrrttttrtrrrtttrrrrtttrrrtttrrtrtrtrrrttrrttrtttttrrrtrrttttttrtrrttrrrrrttrttrtttt"
60,136,"2.27",64000,"cccrccccrrrrcrrttrrttcrcrrcccccccrrcccrrcrrcrccrrrrrcrrrtrrcrccrcccrccrcrrrccrrrccrrrtrrcrcrcrrccrrcrtcrrcrrtrrrrrrrccccrcrrcrrrtrcrtcrrcrrtrrcrcrtrrrrcrcrtrrrtrtrrrrcrtrrttrrrtrtttrtrrttrrtrrrrtrrrttrrtrrttrrtttrttrttrtrtrtrrrttrtttrrrtrrtrrttttrtttrttrtt"
61,133,"2.18",63750,"ccrccrccrcrrcccrccrrrcrrccrccccrcrrcrrcrccrrcrrrccrcrrrccrrtrrtccrcrcrcrrccrcrrcrccrrtcrrrrcrccrrrcrccccrrrrrrrrcrcccccrrrrcrrrcrcrtrrcrtrrrrrrcrtrtrtrrrrtrrttrtttrrrttrrrrtrrtrrtttttrtttrrrtttrrrrttrrrrrrrtttttrrrtttrtrrttttrtttrtrtrttrtrrrtrtrtrtttrrttt"
62,146,"2.35",67500,"ccrtccrccrrccrccccrcrrccrcrcrrrrrrcrtcrrcrcrtrrrrcrrcrtrcrcccrrcrcrrcrtcrcrrrrrrrccrrcrtrrcrcrtrrrcrrcccrrrcrrcrrcrcrtrrtcrrrcrrcrtccrrrrcrrccrrtrrrttcccrcrcrrcrrcrtrrrrrrcrrcrtrtrrtrtrrrrrrrrrttrttrrrtrtrtrrrrtrttttrrtttrrrtttrtttrtrtttrtrrttttrtrttrtrrttrrrtrrrttttttt"
63,144,"2.29",67500,"ccrtcccrcrrcrccccrrcccrcrcrccrrrccrrrrcrcrrrttrcrccrccrrrccrrrtcrrrcrtrcrtcrrcrrcrcrtrrcrcrcrcrccrrrcrrrrrcrtcrcrrrrrccrccrrccrrrtrrrccrcrccrcrcrrrtrcrrcrcrtrrtrrrrrtrrrrcrtrtrtrtrrttrrttrrrtrtrrtrrrttrttrrttrrtrrrrrrrrtrtttrttttttrtttrrtttrrrttrttrttrrrrtttrrrttttrtrtt"
64,139,"2.17",66750,"ccrttccccrccrrcccccrrrrccrrcrcrrcrcrccrrcrrccrrccrcrcrrrtcrtcrcrrcrcrccrrcrrrcrtcrrrccccrcrrrcrcrccrccrrrcrrrrcrrrrrccrrtcrrcrcrtrrcrrrttrrrcrrrcrcrccrcrrtrrrrcrtrrtrttrrrttrrtrtrrtrrtrrttrrtrrrttrrrrrrrrttttrrtttttrtttrttrrrrrtrtrrtttttrrttrttttrrrrtttrttttrtrtrrttt"
65,146,"2.25",69000,"ctcccrrcrtrccrrtcrrccccrrrcccrrrcrcccrrrcccrrcrrrrcrtccrrcrccrcrrrcrcccrcrcrrcccccrrcrrrccrcrrrrcrtrrcrrcrrrtrcrcrccrrrtcrccrcrrtcrcrrrrrrtrcrrrrrrcrtrrcrcrtrrrcrcrtrrtrrrrcrtrrttrrtrrtrttrrrtrtttrrrrrrrtrtttrrtttrrtrrrtrrrttttrrtrtrrtrtttrrttttttrtrtrrttrtrrrrttttttrtrrttrtt"
66,152,"2.30",71000,"ctctccccrrrttcrcrccccrrrrcrcrtrrcrrcrrcrccrrccccrrrcrrrttrrcrcrrtrrcrcrtrccrrcrrccrcrrrrrcrcrtccrrrrcrccrcrrcccrrrrcccrrcrrcrcrcccrrrtrrrcrcrrrcrtrtrrrcrrcrcccrrrrcrrrcrcrtrrtrrtrrrtrrrtrrcrtrtrrrtrtrtttrtrtrrrrttrtttrrrtttrrrrtrtrttrrrtrrrrtttrrtrttrrrrrrtrtttrtrtrtrtttttttrtrtttrtt"
67,155,"2.31",72250,"cccrrcccrccrrrcrrtcccrrrrtrccccrccrcrcrrrrrccrcrccrccrcrcrrrcrrcrcrcrcrtrrrrccrrrrtrccrrrrtrrccrcrcrrcrtrrcrtrcrrcrccrrrtcrtrcrrccrccrrrrccrrrtrcrrrcrtrcrcrrccrrtrcrtrrcrcrrrrrrcrtrrtrrcrtrtrrrrttttrrrrrrrrtttrrttrrrtttttrtrtrttrttrrrrttrrrrrrrrtttttttrrtrrrttttrrttrttrtttrtrtrrrtrrtttttt"
68,160,"2.35",74000,"ccccrrrcrcrccrrtrrrcccrccrccrrrrrccrrcrcrcrcrcrtrrrrrrrrtcrrccrrtrcccrrrcrcrcrcrcrcrtrrcccrrcrccrrrccrrrcrccrcccrcrccrrrrcrcrrrrrcrcccrrrrrcrrrcrccrcrrtrrrccrrcrtrrcrcrrttrrrrrrtrrcrtrtrrrttrttrrrttrtrtrtrttrrrtrrttrrrrtrttrtrtrrrtrrrtrttrrrtrtttrttrtttrrrrttrtrrrtttrtttttrtrtttrrtrrtttrrrtttrtt"
69,151,"2.19",72250,"ccccccccccrcrrcccrrrcrrrrrrrcrcrcrrcccrrrcrcrccrrcccccrrrccrrccccrrrcrcrrrcccrrccrrrcccrcrrcrrccrrcrrtrrrrrtrcrrccrrcrrcrrcrcrccrrtrcrrrrccrrcrtrcrrcrrcrtrrcrtrrtrtrrrcrtrrrtttrrtrttrtrrrrrrrtrrrtrrtrrtrttrtrtrrttrrrrrtrrrtrtrttrttrrrtrtrttttrrtrttrttrrtrrttttrttttrttttrtrrtrtttrrrttttttt"
70,157,"2.24",74250,"ccccccrrrrrccccrcccrrcrrccrrrrccrrrtcrrtrtrcrtccrrcrccrcrrrccrccrrrccrrcccrccrcrrrrccrrccccrrrrccrccrrrcrccrcrrrcccrrrcrtrrrttrrrrrcrrcrrrrccrrrrcrrcrtrrtcccrrrrrrccrrcrcrtrrrtrrrcrtrrttrtrrrttrrrrrttrtrrrrrtrtttrrtttrrrttrttrrttrrrtrrttrrtttrrrttrrtrtrttrrrttrttrtrrrtttrrtrtttttrttttrtrttrrttrtt"
71,160,"2.25",75500,"cccccccrrcrrrrrcccrrccccrcrcrrrrrccrrcccrcrccrcrcrcccrcccrrrcrccrrcrrcrrrrccrrrtccrrcrrrcrrccrrtcrcrrcrcrrcrtcrrrcrtcrrrtrcccrrcrrrtrttcrrtrcrrrcrrcrrrrrcrrcrtcrrrcrcrtrrtrrrcrrtrcrtrrrcrrcrtrtrrtrtrrrrrrttrrrrtrrrtttrrrrttttrrtrrrrrttrtrtttrttttrttrtttrtrrrrttttrrtrrtrrttrrrttrrrtrtttttttrtrrttrttttt"
72,157,"2.18",75250,"cccrcrcrcccrrrcrccrccrrcrrrcrtrtrcrrcccrcccrcrrrrrcrcccrcrrcrrccrcrrrrrcrcccccrcrrcrccrrrrrccrcrcrcrrcrccrcrcrrccrccrrccrrrccrrrccrrccrcccrrrrtrrtrrrrrrrrcrcrtcrrrcrrtrrcrtrrttrrrrrrtrrrrrttrtttttrtrrttrtrrttttrrtrrttttrrtttrrrtrrtrtrrrtrrttttrttrrrrrtttttrtrrrrttttrrrrttrttrttrrttrrttrrttrtrttrtrttt"
73,181,"2.48",81750,"cccrcrrcrccrcrcccrrccrrccrrrcrcccrrrrtcrrrccrcrrccrcrrtccrrrrrcccrrrrttcrcrcccccrrrrrrtrcrcrrcrcrtrrrcrcrrcccrcrcrrrrccrcrrrrrcrtcrrtrtrrcccrrrrrcrtccrrrrtcrtrrcrcrrttrrrrrttrrrtcrrcrrrcrcrcrtrrrcrrcrcrtrrcrtrrrrrrrtrrrrrrrcrtrtrtrrrrtttrttrrrrrtrttttrtrtrtrttrtrtrrttrtrtrrrrtrrrttttrrrrtttrrttrrtrttrrrtrtttrttttrrtrttrtrrttt"
74,169,"2.28",79250,"ctctccrcrcrcrtccrccrrcrcrrrrccrrrccrrcrtrrcrtrcccrrrrcrrcccrrrtcrrcrrtccrrcrccrrcccrrrrtrcrrccrccrrcrrccrrrrtcrcrtrcrrrttcccrcccrrrrccrrcrrccrrcrcrrcrcrrrtrrtrcrrrcccrcrrrrrrrrrttrrrcrrcrcrtrrcrcrtrrrrcrtrrtrrcrtrrttrrtrrrtrtttrtrrttrrtrrttrrrtrttrtrrrrttrtttrrrrttrrrrrrtttrrrtrrttrtrttrtttrtttttttrtrrtttrrtrrttrttt"
