n,score,ratio,iterations,moves
57,127,"2.23",100000,"ccccrrcrccrcrrrcrccrrtcrrrtrrrcrcrtcrrrcccrrrcrrcrtcrrcrtrrrccrrrccrrrcrccrrtrrccrcrcrcrcrrcrrcrrrcrtrtrtccccrrrrrrcrrtrrcrcrccccrccccrrcrrrrrrcrtcrrcrrrrtrtrrrrrrrrtrttrrrtrttrtrrtttrttrttrtrttrrrrrtttttttrtrtrtrtrtttttrrtrtrrttrtrrtrtttrtt"
58,133,"2.29",100000,"ctccrcrtrccrcrcccrrcrrrtrcrccrrtrrtrcrccrrrcrcrcrrcrcrtcrcrcrcrcrcrrrcrtrrrcrrrtrrrrccrrrcrtccrcrrcrrccrrrcrcrccrcrrtcrcrrrrtrrrcrrtrcrrcrtrrtcrcrtrcrrcrrrcrcrrcrtcrcrrrrttrtrrtrtrrtrrrrrrtttttttttrrrrrrttrrrtrrttttrrttrtrtrrrrttttttrtrrtrrttttttrtt"
59,132,"2.24",100000,"ctcccccrrcrrcrrtcrtrrtccrcrrrccrrcrrccrcrcrcrcrrtrrttccrcccccrrrrccrrrcrrccccrcrrcrrrcccrrrccrcrrcrrrrtcrcrccrrrcrrttrrcrrtcrcrtrrrtrrrcrrrrttrtrrrcrcrcrrcrrrrrrcrrcrtrtrrtrtrtrtrrrrttrrtrtrtrttrtttrrrtrrtrrttttrrrrrtrttrrrtttrtrtrrtrrttrtrtrtttttttt"
60,135,"2.25",100000,"ccccccrcrrcrccccrcrcrrrrcrcrcrcrcrrccrcrccrrcrcrrcccrrrrccrcrrrtcrtrrccrrtrcrrrrtrcrcrrrcrrrrcrrcrcrcrrccrrtrcrrcrrccccrrcrcrrcrrtrtrcrcrrcrtrrrrccrrrrcrrtrrrtrtrrrttttrtrtrrtrtrrrtrrrrrrtttrttttrrtrttrrrrrttttrtttttttrtrtrrtrrttrtrrrrtrrtrrrtrttttttttrtt"
61,139,"2.28",100000,"cccrcrcrccrrcrcrrcrcrcrcrcrcrcrtrrcrrrrrccrrcrrccrccrrrcrcrtrrcrrrrrcrrcrrrccccrrrrtccrrrtrccrrccccrrrccrrccccrrrrcrrcrtrrrcrrccrcrrrtcrrrrccrcrrtcrrtccrrrcrrtrtrrrrtrtrtrtrrtrtttrtttrrrrttrttrtttrrtrrrtrrrrtrtrttrttrrttrrrrrtrtrttrttrtrtrtttttrrttttrrrrttttrtt"
62,139,"2.24",100000,"ccccccrrrcrrcrcrrtcrccrrcrccrcrcrrtrccrrcrrrrrcrrccrrcrtrrccccrrrcrrrrtrcrtrrcrtrtrrccrcrrccrccrrrcrccrcrccrrcrrtrrrrcrrcrccrccrrcrrrcrrrcrcrcrtccccrrcrrrrrrcrrtrtrrttrrrtrrrttttrtttrrtrrrrtttrrrrrtrtrtttrrrttrrrtttrrrttrttrtrrrrtttrtttttrrrttrttttrtrtrtrtrrtrttt"
63,145,"2.30",100000,"ccrtcccrccrrrrccrccrcrrcrcrrtcrcrcrrccrrtrcrccrrrcrtrrrccccrcrcccrrrrcrrrtrtrcrcrrcrtrtrrrcrrrrrrcrrrcrrrcrrrttrccrcrrrcrcccrcccrrcrrrrcrccrrtrrrcrrcrccrrtrcrrcrrccrrrcrcrtrrrrtrtrrtrtrrtrrttrtrrttrtrrrtrrtrrrtttrtrtttrtrttttttrrrrtttrrrrtrrtrrttrrtrtttrtrtttrrtrttttrttt"
64,144,"2.25",100000,"ccrcrtcrrcrtrccrrccccrrrrcccrrccrrccrrrccrrtrccrrcrrrrrccrcrrtrccrrtrcrrcrtcrcrrrcrcrrttrrrrccrrtrccrcrrrtrttrrcrrrcccrcrcrrcrcrcrcrrcrrcrrcrccrrrrcrcrcrcrcrtrrcrrcrrrrcccrrrtrtrrrttrrrrttrrrttrrrrttrtrrrrrrrrtttrtttrrtttrttrrttrrttttrrrrrtrrrtttttttttttrttrtrrtrrtrtttttt"
65,146,"2.25",100000,"ccrccrcrrtcccrcrcrcrrrrccrrtrtrrcccrrrccrcrrrcccrrrccrrccrrtrrcrcrrtcrcrrccrrcrcrccrrcrrrcrtrcrrrtccrcccrrrcrccrrcrrcrcrcrrrrcrcrcrrcrtrcrtrcrrrrrccrrcrcrtrrrrtrtrcrccrrrcrrrrrttrrrrtrttrrrrrrrrtttrrrrrrtrttrrttrttttttrttttrtttttrrrrrttrtrtttrttttrtrrrtrrtrtrtrrtttrrttrtttrtt"
66,148,"2.24",100000,"cccrcrrccccccccccrrrccrcrcrrrrrrrccrrrcrcrcrrtrtcrcrrrtccrrcrccrrcrcrcrcrtrrrrrrrcrcrcrtrccrcrrrccrrrcrrcrrcrrrrcrcrrtrrcrtcrrrtrtrtrcrcrcrtrrcrcccrcrrrrrccrrcrrccrrcrcrccrrtrrrrrtrttrrrrrrttttrrrrttrrrtrtrtrrtrrtrrrrttrtrrttrtrtrttrrtrrttrrtttrtttttttrttrrrtrtttrtrrtttrtttrttttt"
